Time,PmuID,PmuCoordinates,DataSize,Path,HopSum,Status
0.0000,29,"(1243.8,624.9)",2.00,"PMU -> GNB_2 (0.0000s, 285.1m) -> TELCO (0.0135s, 707.1m) -> GNB_2 (0.0111s, 707.1m)",0.0247,S
0.0000,20,"(1910.1,143.3)",2.00,"PMU -> GNB_2 (0.0000s, 543.5m) -> TELCO (0.0140s, 707.1m) -> GNB_2 (0.0111s, 707.1m)",0.0251,S
0.0000,26,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0002s, 110.1m) -> TELCO (0.0126s, 707.1m) -> GNB_2 (0.0136s, 707.1m)",0.0265,S
0.0000,28,"(1243.9,285.9)",2.00,"PMU -> GNB_2 (0.0085s, 333.8m) -> TELCO (0.0137s, 707.1m) -> GNB_2 (0.0103s, 707.1m)",0.0326,S
0.0000,1,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0075s, 409.6m) -> TELCO (0.0138s, 707.1m) -> GNB_2 (0.0139s, 707.1m)",0.0351,S
0.0000,15,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0114s, 147.2m) -> TELCO (0.0155s, 707.1m) -> GNB_2 (0.0139s, 707.1m)",0.0408,L
0.0000,5,"(243.5,1567.5)",2.00,"PMU -> GNB_5 (0.0000s, 265.2m) -> TELCO (0.0140s, 707.1m) -> GNB_5 (0.0149s, 707.1m)",0.0289,S
0.0000,2,"(577.0,1763.6)",2.00,"PMU -> GNB_5 (0.0008s, 274.6m) -> TELCO (0.0154s, 707.1m) -> GNB_5 (0.0148s, 707.1m)",0.0309,S
0.0000,25,"(910.6,1553.7)",2.00,"PMU -> GNB_5 (0.0092s, 414.1m) -> TELCO (0.0135s, 707.1m) -> GNB_5 (0.0149s, 707.1m)",0.0376,S
0.0000,0,"(577.1,1492.8)",2.00,"PMU -> GNB_5 (0.0105s, 77.4m) -> TELCO (0.0162s, 707.1m) -> GNB_5 (0.0119s, 707.1m)",0.0386,S
0.0000,6,"(910.2,1635.2)",2.00,"PMU -> GNB_5 (0.0172s, 431.9m) -> TELCO (0.0115s, 707.1m) -> GNB_5 (0.0116s, 707.1m)",0.0403,S
0.0000,3,"(243.7,1959.7)",2.00,"PMU -> GNB_5 (0.0158s, 526.3m) -> TELCO (0.0146s, 707.1m) -> GNB_5 (0.0146s, 707.1m)",0.0450,L
0.0000,4,"(1243.7,1228.4)",2.00,"PMU -> GNB_4 (0.0000s, 343.3m) -> TELCO (0.0133s, 500.0m) -> GNB_4 (0.0130s, 500.0m)",0.0262,S
0.0000,8,"(1243.6,1099.7)",2.00,"PMU -> GNB_4 (0.0000s, 275.1m) -> TELCO (0.0132s, 500.0m) -> GNB_4 (0.0138s, 500.0m)",0.0269,S
0.0000,12,"(1909.4,970.9)",2.00,"PMU -> GNB_4 (0.0108s, 410.4m) -> TELCO (0.0161s, 500.0m) -> GNB_4 (0.0106s, 500.0m)",0.0375,S
0.0000,11,"(1576.8,903.1)",2.00,"PMU -> GNB_4 (0.0163s, 123.6m) -> TELCO (0.0118s, 500.0m) -> GNB_4 (0.0122s, 500.0m)",0.0403,S
0.0000,10,"(910.1,706.6)",2.00,"PMU -> GNB_1 (0.0000s, 459.1m) -> TELCO (0.0128s, 707.1m) -> GNB_1 (0.0133s, 707.1m)",0.0261,S
0.0000,23,"(910.7,346.8)",2.00,"PMU -> GNB_1 (0.0009s, 438.4m) -> TELCO (0.0144s, 707.1m) -> GNB_1 (0.0139s, 707.1m)",0.0292,S
0.0000,7,"(243.6,231.9)",2.00,"PMU -> GNB_1 (0.0008s, 371.0m) -> TELCO (0.0148s, 707.1m) -> GNB_1 (0.0155s, 707.1m)",0.0310,S
0.0000,14,"(576.6,577.8)",2.00,"PMU -> GNB_1 (0.0107s, 109.2m) -> TELCO (0.0125s, 707.1m) -> GNB_1 (0.0154s, 707.1m)",0.0386,S
0.0000,9,"(243.4,638.8)",2.00,"PMU -> GNB_1 (0.0115s, 291.7m) -> TELCO (0.0153s, 707.1m) -> GNB_1 (0.0119s, 707.1m)",0.0386,S
0.0000,19,"(577.5,75.5)",2.00,"PMU -> GNB_1 (0.0129s, 431.5m) -> TELCO (0.0135s, 707.1m) -> GNB_1 (0.0141s, 707.1m)",0.0405,S
0.0000,17,"(1910.1,1411.1)",2.00,"PMU -> GNB_6 (0.0000s, 419.6m) -> TELCO (0.0115s, 707.1m) -> GNB_6 (0.0130s, 707.1m)",0.0244,S
0.0000,27,"(1577.3,1418.0)",2.00,"PMU -> GNB_6 (0.0000s, 112.7m) -> TELCO (0.0113s, 707.1m) -> GNB_6 (0.0135s, 707.1m)",0.0248,S
0.0000,22,"(1909.9,1749.8)",2.00,"PMU -> GNB_6 (0.0055s, 480.1m) -> TELCO (0.0099s, 707.1m) -> GNB_6 (0.0134s, 707.1m)",0.0288,S
0.0000,13,"(1576.6,1709.8)",2.00,"PMU -> GNB_6 (0.0019s, 223.3m) -> TELCO (0.0144s, 707.1m) -> GNB_6 (0.0162s, 707.1m)",0.0325,S
0.0000,21,"(1244.0,1682.2)",2.00,"PMU -> GNB_6 (0.0146s, 314.2m) -> TELCO (0.0127s, 707.1m) -> GNB_6 (0.0150s, 707.1m)",0.0423,L
0.0000,16,"(243.3,842.2)",2.00,"PMU -> GNB_3 (0.0000s, 301.3m) -> TELCO (0.0121s, 500.0m) -> GNB_3 (0.0103s, 500.0m)",0.0224,S
0.0000,18,"(577.4,1078.9)",2.00,"PMU -> GNB_3 (0.0006s, 110.6m) -> TELCO (0.0100s, 500.0m) -> GNB_3 (0.0124s, 500.0m)",0.0229,S
0.0000,24,"(910.7,814.6)",2.00,"PMU -> GNB_3 (0.0103s, 450.6m) -> TELCO (0.0102s, 500.0m) -> GNB_3 (0.0130s, 500.0m)",0.0335,S
1.0000,29,"(1243.8,624.9)",2.00,"PMU -> GNB_2 (0.0000s, 285.1m) -> TELCO (0.0128s, 707.1m) -> GNB_2 (0.0112s, 707.1m)",0.0240,S
1.0000,26,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0000s, 110.1m) -> TELCO (0.0118s, 707.1m) -> GNB_2 (0.0126s, 707.1m)",0.0244,S
1.0000,1,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0000s, 409.6m) -> TELCO (0.0149s, 707.1m) -> GNB_2 (0.0096s, 707.1m)",0.0245,S
1.0000,15,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0086s, 147.2m) -> TELCO (0.0149s, 707.1m) -> GNB_2 (0.0108s, 707.1m)",0.0342,S
1.0000,28,"(1243.9,285.9)",2.00,"PMU -> GNB_2 (0.0112s, 333.8m) -> TELCO (0.0154s, 707.1m) -> GNB_2 (0.0129s, 707.1m)",0.0395,S
1.0000,20,"(1910.1,143.3)",2.00,"PMU -> GNB_2 (0.0286s, 543.5m) -> TELCO (0.0141s, 707.1m) -> GNB_2 (0.0126s, 707.1m)",0.0553,L
1.0000,3,"(243.7,1959.7)",2.00,"PMU -> GNB_5 (0.0010s, 526.3m) -> TELCO (0.0131s, 707.1m) -> GNB_5 (0.0177s, 707.1m)",0.0319,S
1.0000,0,"(577.1,1492.8)",2.00,"PMU -> GNB_5 (0.0126s, 77.4m) -> TELCO (0.0128s, 707.1m) -> GNB_5 (0.0110s, 707.1m)",0.0364,S
1.0000,5,"(243.5,1567.5)",2.00,"PMU -> GNB_5 (0.0085s, 265.2m) -> TELCO (0.0127s, 707.1m) -> GNB_5 (0.0174s, 707.1m)",0.0386,S
1.0000,2,"(577.0,1763.6)",2.00,"PMU -> GNB_5 (0.0145s, 274.6m) -> TELCO (0.0130s, 707.1m) -> GNB_5 (0.0120s, 707.1m)",0.0395,S
1.0000,6,"(910.2,1635.2)",2.00,"PMU -> GNB_5 (0.0115s, 431.9m) -> TELCO (0.0159s, 707.1m) -> GNB_5 (0.0169s, 707.1m)",0.0443,S
1.0000,25,"(910.6,1553.7)",2.00,"PMU -> GNB_5 (0.0181s, 414.1m) -> TELCO (0.0146s, 707.1m) -> GNB_5 (0.0136s, 707.1m)",0.0463,S
1.0000,11,"(1576.8,903.1)",2.00,"PMU -> GNB_4 (0.0032s, 123.6m) -> TELCO (0.0121s, 500.0m) -> GNB_4 (0.0107s, 500.0m)",0.0260,S
1.0000,8,"(1243.6,1099.7)",2.00,"PMU -> GNB_4 (0.0035s, 275.1m) -> TELCO (0.0123s, 500.0m) -> GNB_4 (0.0123s, 500.0m)",0.0281,S
1.0000,12,"(1909.4,970.9)",2.00,"PMU -> GNB_4 (0.0029s, 410.4m) -> TELCO (0.0117s, 500.0m) -> GNB_4 (0.0136s, 500.0m)",0.0282,S
